#,,,BEES,,,,Pre-Retrofit,,,Post-Retrofit,,,,,Consumption,,Opportunity,,,
#,,,,SF,MMBtu/sf,MMBtu,,SF,MMBtu/sf,,SF,,MMBtu,MMBtu,MMBtu,,,,Gallons,
community,energy_region,total_occupied,BEES_number,BEES_avg_area,BEES_avg_EUI,BEES_total_consumption,pre_number,pre_avg_area,pre_avg_EUI,post_number,post_avg_area,post_avg_EUI_reduction,post_avg_EUI,post_total_consumption,consumption_heating_electricity_consumption,consumption_gallons_HF,opportunity_non-Wx_HERP_BEES,opportunity_potential_reduction,opportunity_savings,opportunity_total_percent_community_savings
Chickaloon,Railbelt,123,0,0,0,0,2,1747.5136673929,0.1539357067,2,3149,0.2301575703,0.115576675,727.9018994161,33277.476822459,222905.049438109,121,7491.5310786826,54286.4570919026,0.2435407239
Chicken,Yukon-Koyukuk/Upper Tanana,5,0,0,0,0,0,1121.8146232877,0.2465402206,0,0,0.3264046098,0,0,1382.8621236908,9279.4356789185,5,451.3725718948,3270.815738368,0.352480027
Chignik,Bristol Bay,41,4,1375.5,0.0592144166,325.7977203133,1,1253.7457405615,0.1364969949,1,2200,0.2334826601,0.0830454545,182.7,6669.268652603,42249.3380623408,36,1438.4331854139,10423.4288798106,0.2467122411
Chignik Lagoon,Bristol Bay,29,0,0,0,0,0,1253.7457405615,0.1364969949,0,0,0.2334826601,0,0,4962.8432510112,31663.0670363131,29,1158.7378438056,8396.6510420697,0.2651875459
Chignik Lake,Bristol Bay,27,0,0,0,0,3,1253.7457405615,0.1364969949,1,2864,0.2334826601,0.025974162,74.39,4523.8356733204,28778.3744443507,26,1038.8684116878,7528.0319687521,0.2615864208
Chiniak,Kodiak,20,0,0,0,0,0,1817.0217554859,0.1060456189,0,0,0.2585839941,0,0,3853.7439325573,24960.4632794003,20,996.5164982824,7221.1340455247,0.2893028853
Chistochina,Copper River/Chugach,36,2,1247,0.1188652767,296.45,14,1471.6842857143,0.172757897,8,1350.0725,0.2999368524,0.1175001644,1269.0699260428,8175.8920643632,53908.2033649509,26,1982.6942122791,14367.3493643409,0.2665150843
Chitina,Copper River/Chugach,52,1,1664,0.0712079327,118.49,1,1845.1516180905,0.1543141463,1,530,0.2999368524,0.1487713106,78.8487946429,14433.9886318636,96884.5553033595,50,4270.0959407216,30942.7242081271,0.3193772641
Chuathbaluk,Lower Yukon-Kuskokwim,36,0,0,0,0,1,1045.957275886,0.1666381457,0,0,0.3336983204,0,0,6274.6697132804,40131.2298063799,36,2093.8467441962,15172.8024941752,0.3780796793
Circle,Yukon-Koyukuk/Upper Tanana,40,1,1312,0.0694207317,91.08,7,953.4285714286,0.2465402206,4,819.5,0.3264046098,0.1204194766,394.7350444152,8712.862207042,57206.2478771161,35,2685.346118949,19459.0298474564,0.3401556748
Clark's Point,Bristol Bay,24,0,0,0,0,0,1253.7457405615,0.1364969949,0,0,0.2334826601,0,0,4107.1806215265,26203.9175472936,24,958.9554569426,6948.9525865404,0.2651875459
Clear,Railbelt,0,0,0,0,0,3,#DIV/0!,0.1539357067,1,2808,0.2301575703,0.0856054131,240.38,#DIV/0!,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!
Coffman Cove,Southeast,89,2,2108.875,0.0482096583,203.3362863646,6,1711.7903707981,0.1227746387,4,1648,0.2806617236,0.0786173714,518.2457121949,18165.2308820022,118436.890449292,83,4895.7645619481,35476.554796725,0.2995397351
Cold Bay,Aleutians,46,0,0,0,0,0,1280.005261708,0.1203594636,0,0,0.3206591027,0,0,7086.7943458773,44533.5822165024,46,2272.4451159652,16466.9935939507,0.3697657537
Coldfoot,Yukon-Koyukuk/Upper Tanana,6,0,0,0,0,3,2538.6666666667,0.2465402206,0,0,0.3264046098,0,0,3755.3006407292,26322.7582661532,6,1225.7474403306,8882.2278284823,0.3374352999
Cooper Landing,Railbelt,161,10,3060.8,0.0599426228,1834.723798586,5,1747.5136673929,0.1539357067,3,2229.3333333333,0.2301575703,0.0909199152,608.0723926725,42255.4994029144,282329.271035612,148,9163.1950383886,66399.964046294,0.2351862554
Copper Center,Copper River/Chugach,123,7,2188,0.0880353137,1348.3488649154,78,1870.0167105263,0.2286417954,38,1823.3689473684,0.3562149108,0.1442522708,9994.9542208485,44693.2933761623,305628.357798277,78,11879.7638151368,86085.2450372232,0.2816664188
