,,,BEES,,,,Pre-Retrofit,,,Post-Retrofit,,,,,Consumption,,Opportunity,,,
,,,,SF,MMBtu/sf,MMBtu,,SF,MMBtu/sf,,SF,,MMBtu,MMBtu,MMBtu,,,,Gallons,
community,energy_region,total_occupied,BEES_number,BEES_avg_area,BEES_avg_EUI,BEES_total_consumption,pre_number,pre_avg_area,pre_avg_EUI,post_number,post_avg_area,post_avg_EUI_reduction,post_avg_EUI,post_total_consumption,consumption_heating_electricity_consumption,consumption_gallons_HF,opportunity_non-Wx_HERP_BEES,opportunity_potential_reduction,opportunity_savings,opportunity_total_percent_community_savings
Cordova,Copper River/Chugach,922,252,1881.9063888889,0.1306836931,61975.48817523,252,1881.9063888889,0.1306836931,86,1794.8052325581,0.3035178251,0.0998233076,15408.0519551104,221009.274631667,1464819.96109904,584,43592.9705617688,315891.09102731,0.2156518203
Covenant Life,Southeast,35,0,0,0,0,0,1711.7903707981,0.1227746387,0,0,0.2806617236,0,0,7355.755553259,48113.4460381085,35,2064.4790321468,14959.9929865708,0.3109316463
Craig,Southeast,470,169,1331.701183432,0.1540707536,34674.7786344166,169,1331.701183432,0.1540707536,124,1102.0040322581,0.2993452465,0.1064149698,14541.4459975677,85532.4129058999,550117.484825362,177,10871.0783302183,78775.9299291184,0.1431983751
Crooked Creek,Lower Yukon-Kuskokwim,38,3,594.6666666667,0.1721840659,307.1763736264,3,1045.957275886,0.1666381457,3,594.6666666667,0.3336983204,0.1036206502,184.8592399267,6069.5198031357,38348.1145154762,32,1861.1971059522,13486.935550378,0.3516974881
Crown Point,Railbelt,26,0,0,0,0,0,1747.5136673929,0.1539357067,0,0,0.2301575703,0,0,6994.1235371828,46827.2720085709,26,1609.7504797169,11664.8585486733,0.2491039526
Deering,Northwest Arctic,44,27,948.0740740741,0.1810855484,4635.4278670476,27,948.0740740741,0.1810855484,27,948.0740740741,0.4408047192,0.0966222738,2473.336964582,5391.9396956861,32548.5485194641,0,0,0,0
Delta Junction,Railbelt,377,383,1987.2624804178,0.1605477444,122196.344839582,383,1987.2624804178,0.1605477444,152,1761.145,0.2055410928,0.1377933138,36886.4488594368,108672.813321332,731589.806676319,0,0,0,0
Deltana,Railbelt,784,0,0,0,0,0,1747.5136673929,0.1539357067,0,0,0.2301575703,0,0,210899.725121204,1412022.35595075,784,48540.1683114638,351740.350083071,0.2491039526
Dillingham,Bristol Bay,855,261,1653.6667049809,0.1282889838,55370.4247099658,261,1653.6667049809,0.1282889838,78,1461.95,0.232544151,0.1009148571,11507.5330801676,176345.923883399,1151105.97016956,516,25456.1352323769,184464.748060702,0.1602500142
Diomede,Bering Straits,38,0,0,0,0,0,1243.088742515,0.1509469955,0,0,0.3261277145,0,0,7130.3394127977,46035.2131362149,38,2325.4012966414,16850.7340336329,0.3660401003
Dot Lake,Yukon-Koyukuk/Upper Tanana,7,1,720,0.3979166667,286.5,1,1121.8146232877,0.2465402206,0,0,0.3264046098,0,0,1945.9345484289,13063.1489016587,6,541.6470862737,3924.9788860416,0.3004619266
Dot Lake Village,Yukon-Koyukuk/Upper Tanana,19,0,0,0,0,0,1121.8146232877,0.2465402206,0,0,0.3264046098,0,0,5254.8760700249,35261.8555798904,19,1715.2157732002,12429.0998057983,0.352480027
Douglas,Southeast,0,184,1874.6867391304,0.1133042688,39083.4418666354,184,1874.6867391304,0.1133042688,73,1982.298630137,0.2846455715,0.0843070455,12199.8870760204,-3306.0436645469,-23956.8381488906,0,0,0,0
Dry Creek,Yukon-Koyukuk/Upper Tanana,29,0,0,0,0,0,1121.8146232877,0.2465402206,0,0,0.3264046098,0,0,8020.6003174064,53820.7269377274,29,2617.9609169897,18970.7312825342,0.352480027
Eagle,Yukon-Koyukuk/Upper Tanana,41,2,644,1.2266856859,1579.9711633895,2,1121.8146232877,0.2465402206,1,576,0.3264046098,0.1616145833,93.09,12182.8133034393,82202.5601698497,38,3430.4315464003,24858.1996115966,0.302401769
Eagle Village,Yukon-Koyukuk/Upper Tanana,31,0,0,0,0,0,1121.8146232877,0.2465402206,0,0,0.3264046098,0,0,8573.7451668827,57532.5012092948,31,2798.5099457476,20279.0575778814,0.352480027
Edna Bay,Southeast,18,0,0,0,0,0,1711.7903707981,0.1227746387,0,0,0.2806617236,0,0,3782.9599988189,24744.0579624558,18,1061.7320736755,7693.7106788078,0.3109316463
Eek,Lower Yukon-Kuskokwim,91,37,787.6618918919,0.1449418384,4224.1110172093,37,787.6618918919,0.1449418384,18,755.5555555556,0.3090104872,0.0882879764,1200.7164795775,9534.7733513689,55600.8213867308,36,1270.0163709415,9203.0171807352,0.1655194465
Egegik,Bristol Bay,29,8,1000.775,0.1001976047,802.2020631478,8,1253.7457405615,0.1364969949,0,0,0.2334826601,0,0,4395.9851069835,27555.3993259676,21,839.0860248248,6080.3335132229,0.2206585156
Ekwok,Bristol Bay,37,6,1356,0.0676683874,550.55,6,1253.7457405615,0.1364969949,0,0,0.2334826601,0,0,5855.6583028051,36946.6543681528,31,1238.6507985508,8975.7304242814,0.2429375698
Elfin Cove,Southeast,13,0,0,0,0,0,1711.7903707981,0.1227746387,0,0,0.2806617236,0,0,2732.1377769248,17870.7085284403,13,766.8064976545,5556.5688235834,0.3109316463
Elim,Bering Straits,89,4,1068.5,0.0812552666,347.285009336,4,1243.088742515,0.1509469955,0,0,0.3261277145,0,0,16296.7284326992,104897.017628255,85,5201.5555319609,37692.4313910211,0.3593279603
Emmonak,Lower Yukon-Kuskokwim,185,40,777.1,0.1999484943,6215.1989959195,40,777.1,0.1999484943,8,748,0.3336983204,0.1128020966,675.0077462852,28177.263303229,176754.806545138,137,7103.4550200282,51474.3117393345,0.2912187382
Evansville,Yukon-Koyukuk/Upper Tanana,12,1,672,0.1203720238,80.89,1,1121.8146232877,0.2465402206,1,672,0.3264046098,0.0871130952,58.54,2905.1542473815,19272.7119375472,10,902.7451437896,6541.6314767359,0.3394245448
Excursion Inlet,Southeast,6,0,0,0,0,0,1711.7903707981,0.1227746387,0,0,0.2806617236,0,0,1260.986666273,8248.0193208186,6,353.9106912252,2564.5702262693,0.3109316463
False Pass,Aleutians,15,4,1058,0.1538688843,651.1731181775,4,1280.005261708,0.1203594636,4,1058,0.3206591027,0.1253144797,530.3308780256,2259.9292227497,14152.3856720991,7,345.806865473,2505.8468512534,0.1770617979
Fort Yukon,Yukon-Koyukuk/Upper Tanana,246,16,848.921875,0.2678190816,3637.7196308042,16,848.921875,0.2678190816,12,756.5833333333,0.2954736095,0.1909555635,1733.6855606035,54935.3351611149,361609.964935615,218,14644.833287196,106121.980342,0.2934708405
Gakona,Copper River/Chugach,86,20,1643.4605,0.1454664811,4781.3683145217,20,1643.4605,0.1454664811,12,1547.4341666667,0.2832479882,0.1101728675,2045.823113103,19736.8858768332,130270.477368357,54,3656.6449804464,26497.4273945392,0.2034031649
Galena,Yukon-Koyukuk/Upper Tanana,190,24,1331.5,0.1909059659,6100.5910470295,24,1331.5,0.1909059659,10,1507,0.4228442892,0.1051434411,1584.5116575928,47338.9445103144,314866.264567495,156,16767.4005509044,121502.902542785,0.3858873313
Gambell,Bering Straits,164,0,0,0,0,0,1243.088742515,0.1509469955,0,0,0.3261277145,0,0,30773.0437815478,198678.288272085,164,10035.9424381363,72724.2205662053,0.3660401003
Game Creek,Southeast,7,0,0,0,0,0,1711.7903707981,0.1227746387,0,0,0.2806617236,0,0,1471.1511106518,9622.6892076217,7,412.8958064294,2991.9985973142,0.3109316463
Glacier View,Railbelt,99,0,0,0,0,0,1747.5136673929,0.1539357067,0,0,0.2301575703,0,0,26631.4703915806,178303.843417251,99,6129.4345189221,44416.1921661021,0.2491039526
Glennallen,Copper River/Chugach,203,83,1858.4327710843,0.173449756,26754.6109814231,83,1858.4327710843,0.173449756,37,1507.5608108108,0.259752837,0.1316309651,7342.3423267804,60851.5642896265,410856.407895844,83,6949.5861052404,50359.3196031915,0.1225715813
Golovin,Bering Straits,49,4,1033,0.0787744308,325.4959482566,4,1243.088742515,0.1509469955,0,0,0.3261277145,0,0,8769.3189370959,56281.0067905502,45,2753.7646933911,19954.8166187759,0.3545568524
